title,pubDate,guid,link,description
ဌာနချုပ် လိုင်ဇာအနီး စစ်ကောင်စီ အင်အားတိုးချဲ့ ပြီး စစ်‌ရေးဖိအားပေးလာ,"Sun, 05 Nov 2023 11:58:06 GMT",https://www.bbc.com/burmese/articles/cv2zlpjg5exo,https://www.bbc.com/burmese/articles/cv2zlpjg5exo,KIA ဌာနချုပ်ရှိရာ လိုင်ဇာမြို့ အနီးမှာရှိတဲ့ ခါယာတောင်နဲ့ ဘွန်ရယ်တောင်က တပ်စခန်းတွေမှာ စစ်ကောင်စီဘက်က အင်အားတိုးချဲ့ဖြည့်တင်းလာတယ်လို့ KIA ပြန်ကြားရေးတာဝန်ခံ ဗိုလ်မှူးကြီးနော်ဘူ က ဘီဘီစီကို ပြောပါတယ်။
နိုဝင်ဘာ ၅ ရက်ထိပ်တန်းသတင်းများ - ပဲခူး၊ မုန်းမြို့ထဲမှာ စစ်ကြောင်းထိုးပစ်ခတ်လို့ ဒေသခံထောင်နဲ့ချီ ထွက်ပြေး,"Sun, 05 Nov 2023 09:42:13 GMT",https://www.bbc.com/burmese/articles/cnkpy9jve0lo,https://www.bbc.com/burmese/articles/cnkpy9jve0lo,မုန်းမြို့နယ်ထဲက ကျေးရွာ ၇ ရက်ထက်မနည်းကို ဟောင်ဝစ်ဇာ လက်နက်ကြီးတွေနဲ့ပတ်ခတ်လို့ ကျေးရွာတွေထဲကိုလက်နက်ကြီးအပိုင်းအစတွေကျရောက်ပေါက်ကွဲခဲ့ပြီး သံဃာတော်(၁)ပါး ကျည်စထိမှန် ဒဏ်ရာရရှိခဲ့သလို စပါးရိတ်ဖို့သွားတဲ့ အသက် ၄၅ နှစ်အရွယ်ရွာသား တစ်ဦးကတော့ ကျည်စထိမှန်ပြီးနေရာမှာပဲပွဲချင်းပြီးသေဆုံးခဲ့ရတယ်လို့ပြောပါတယ်။
ဟက်ဇ်ဘိုလာတပ် ဘယ်လောက် အင်အားကြီးလဲ၊ အစ္စရေးနဲ့ တိုက်မှာလား,"Sat, 04 Nov 2023 22:14:47 GMT",https://www.bbc.com/burmese/articles/c1v279eq7weo,https://www.bbc.com/burmese/articles/c1v279eq7weo,ဟက်ဇ်ဘိုလာဆိုတာ ရှီယား မွတ်ဆလင် အဖွဲ့အစည်း ဖြစ်ပြီး နိုင်ငံရေး သြဇာရှိတဲ့ အဖွဲ့ဖြစ်သလို လက်ဘနွန်က အင်အားအကြီးဆုံး လက်နက်ကိုင်အဖွဲ့ကိုလည်း ထိန်းချုပ်ထားတဲ့ အဖွဲ့ပါ။
အီလွန်မတ်စ်ခ်ကို  အေအိုင်အကြောင်း ယူကေဝန်ကြီးချုပ် မေးမြန်းခန်း,"Sat, 04 Nov 2023 11:18:35 GMT",https://www.bbc.com/burmese/articles/cv2z47ydvp9o,https://www.bbc.com/burmese/articles/cv2z47ydvp9o,အနာဂတ်မှာ စူပါ ကွန်ပျူတာတွေကို စောင့်ကြည့်ထိန်းကွပ်ပေးမယ့် သူတွေရှိဖို့ လိုတယ်ဆိုတာကိုလည်း  မစ္စတာ မတ်စ်ခ်တို့ ၂ ဦးစလုံး သဘောတူခဲ့ကြပါတယ်။
နီပေါငလျင် - လူ ၁၀၀ ကျော်သေဆုံး ၁၀၀ ကျော်ဒဏ်ရာရ,"Sat, 04 Nov 2023 09:25:03 GMT",https://www.bbc.com/burmese/articles/cd1plnn5ne1o,https://www.bbc.com/burmese/articles/cd1plnn5ne1o,"နီပေါနိုင်ငံအနောက်ပိုင်းမှာ လှုပ်ခတ်ခဲ့တဲ့ ငလျင်ကြောင့် လူ ၁၀၀ ကျော်သေဆုံးပြီး ၁၀၀ ကျော်ဒဏ်ရာရ ခဲ့ပါတယ်။
"
မှိုအဆိပ်သင့်မှု - သံသယရှိခံရသူအမျိုးသမီးကိုလူသတ်မှုနဲ့စွဲချက်တင်,"Sat, 04 Nov 2023 05:10:48 GMT",https://www.bbc.com/burmese/articles/c3g2d4jz3l0o,https://www.bbc.com/burmese/articles/c3g2d4jz3l0o,လူသုံးဦး မှိုအဆိပ်သင့်မှုနဲ့ ပတ်သက်ပြီး သံသယရှိသူ သြစတေးလျအမျိုးသမီး  အယ်ရင်ပတ်တာဆန်ဟာ သူ့ရဲ့ လက်တွဲဖော်ဟောင်းကို လေးကြိမ်တိုင် လူသတ်ဖို့ ကြံစည်မှုနဲ့ တရားစွဲဆိုခံထားရပါတယ်။
ဒုက္ခသည်တွေ ခိုလှုံနေရာ ဂါဇာ စာသင်ကျောင်း တိုက်ခိုက်ခံရ - နိုဝင်ဘာ ၄ ရက် ညပိုင်း နိုင်ငံတကာသတင်းများ,"Sat, 04 Nov 2023 15:30:38 GMT",https://www.bbc.com/burmese/articles/c843w54kd18o,https://www.bbc.com/burmese/articles/c843w54kd18o,ဂါဇာ စစ်ပွဲ အဖြေရှာရေး နှစ်ကြိမ်မြောက် အရှေ့အလယ်ပိုင်း ခရီးစဥ် အမေရိကန် နိုင်ငံခြားရေး ဝန်ကြီး ပြုလုပ်နေ
နိုဝင်ဘာ ၄ ရက်ထိပ်တန်းသတင်းများ - လောက်ကိုင်က တရုတ်နိုင်ငံသားတွေ ဘေးကင်းရေး တရုတ်တောင်းဆို,"Sat, 04 Nov 2023 11:13:27 GMT",https://www.bbc.com/burmese/articles/cldpw7d7l4vo,https://www.bbc.com/burmese/articles/cldpw7d7l4vo,အောက်တိုဘာ ၂၀ ရက်က လောက်ကိုင်မြို့မှာဖြစ်ခဲ့တဲ့ ပစ်ခတ်မှု တစ်ခုအတွင်းမှာ တရုတ်နိုင်ငံသားတချို့ ထိခိုက်သေဆုံးခဲ့ပြီးတဲ့နောက် ယူနန်ပြည်နယ်၊ လင်ချန်းမြို့၊ နိုင်ငံခြားရေးရာရုံးက တဆင့် တောင်းဆိုထားတာဖြစ်ပါတယ်။
လောက်ကိုင် - တိုက်ပွဲတွေ ဝန်းရံနေတဲ့မြို့ ,"Fri, 03 Nov 2023 14:25:20 GMT",https://www.bbc.com/burmese/articles/cx01xx25vwjo,https://www.bbc.com/burmese/articles/cx01xx25vwjo,မြို့လေးမြို့နဲ့ စစ်ကောင်စီ တပ်စခန်းပေါင်း ၉၀ ကျော်ကို သီတင်းတစ်ပတ်အတွင်းသိမ်းပိုက်ခံရပါတယ်။ ဒါပေမဲ့ ကိုးကန့်ရဲ့အဓိကမြို့ဖြစ်တဲ့ လောက်ကိုင်ကိုတော့ စစ်ကောင်စီကဆက်လက်ထိန်းချုပ်ထားဆဲ ဖြစ်ပါတယ်။
ဘီးတဲလ်စ် အဖွဲ့ရဲ့ နောက်ဆုံး သီချင်း ထွက်ပေါ်လာပုံ ,"Fri, 03 Nov 2023 11:13:35 GMT",https://www.bbc.com/burmese/articles/c0wx4vxdp75o,https://www.bbc.com/burmese/articles/c0wx4vxdp75o,ဒီသီချင်းဟာ ကမ္ဘာ့ ရော့ခ်ဂီတ လောကမှာ အကြီးကျယ်ဆုံး အဖွဲ့တခုဖြစ်တဲ့ ဘီးတဲလ်စ် နောက်ဆုံး ကန့်လန့်ကာချ အပိတ်သီချင်း ဖြစ်လာနိုင်ပါတယ်။
