defense,level,f1,f1_ci,by,n,top5,top10,entropy,dDownB,dDownB_q1,dDownB_q3,dUpB,dT,dT_q1,dT_q3,n_pages
nop,mid1,0.9991991638632857,0.0005752818891880906,robustfp,3,0.9995999899930005,0.9997999799979999,6.621471725344413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
srvalpaca,vlow,0.9988990156437957,0.00032124521983306186,robustfp,3,0.9996000199900014,0.9997000299910015,6.626719816217574,0.081,0.057,0.095,0.0,0.129,0.046,0.183,25.0
srvalpaca,low,0.98726804533123,0.003914681113522076,robustfp,3,0.9964000599220091,0.9978001099450077,6.253679600484424,0.72,0.521,0.88,0.0,0.301,0.164,0.633,25.0
srvalpaca,lomid,0.3118251636771607,0.007256837410950974,robustfp,3,0.4893001297730253,0.5767999415418447,1.55165448002741,2.069,1.55,2.554,0.0,0.799,0.614,2.04,25.0
srvalpaca,mid1,0.1467900097229363,0.0016317447080868794,xgboost,3,0.3331409331409331,0.44136604136604135,1.9463834585023447,6.322,4.32,8.188,0.0,3.164,2.594,4.101,25.0
srvh2ps1p,vlow,0.9970987800422103,0.00042735553634680175,robustfp,3,0.9994000299850021,0.9997000299910015,6.470894974596553,0.02,0.002,0.209,0.033,0.069,-0.009,0.164,25.0
srvh2ps1p,low,0.9964076898989366,0.0014327600003164677,robustfp,3,0.9990999399880001,0.9993999699910003,6.519745843735588,0.21,0.015,0.348,0.054,0.128,0.011,0.193,25.0
srvh2ps1p,lomid,0.9592823416172639,0.002512085319926633,robustfp,3,0.984599839708026,0.9897998498110159,5.996539098150783,0.354,0.006,0.566,0.086,0.161,0.067,0.44,25.0
srvh2ps1p,mid1,0.8825754399963918,0.003017972157742242,robustfp,3,0.9384993688331041,0.9531993691270747,5.493845842408391,0.777,0.308,1.247,0.194,0.303,0.026,0.943,25.0
srvh2ps1p,mid2,0.15958463213082644,0.00554953749129278,robustfp,3,0.3217004663873706,0.4296007585161636,0.9274175784262543,1.17,0.263,1.778,0.342,0.593,0.012,1.049,25.0
srvh2ps1p,high,0.07589469263169392,0.0026059897454952623,xgboost,3,0.20495889610660586,0.3107418130578192,1.4893787524374849,2.449,1.308,3.709,0.708,1.135,0.248,1.719,25.0
srvtamaraw,vlow,0.9970128465629494,0.0010915888516979876,robustfp,3,0.9986999599780014,0.999099969985001,6.591974032672497,0.129,0.102,0.146,0.0,0.098,0.005,0.204,25.0
srvtamaraw,low,0.17906207977457544,0.01062690201607999,xgboost,3,0.42739888865911185,0.5562994811778719,2.051393332210434,1.29,1.113,1.761,0.0,0.582,0.509,0.788,25.0
srvtamaraw,lomid,0.06319592255266171,0.008880452068614582,robustfp,3,0.21159842438952955,0.3237979466812908,0.7034195086630707,3.354,2.925,4.004,0.0,2.209,1.31,2.899,25.0
