defense,level,f1,f1_ci,by,n,top5,top10,entropy,dDownB,dDownB_q1,dDownB_q3,dUpB,dT,dT_q1,dT_q3,n_pages
front,vlow,0.9398146453851295,0.005306968295738736,robustfp,3,0.9867997597600192,0.9940999498870103,6.113175672419124,0.288,0.175,0.568,0.543,0.105,0.051,0.136,25.0
front,low,0.7962373215776695,0.006816419214912169,robustfp,3,0.9764997195580385,0.9946000898830135,5.329055967059983,0.916,0.64,1.44,1.182,0.151,0.097,0.238,25.0
front,lomid,0.6824436684770828,0.005139900185214011,robustfp,3,0.9676994694070488,0.9902998098250136,4.688477577892197,2.038,1.507,2.528,3.168,0.13,0.078,0.169,25.0
front,mid1,0.6926466934398466,0.01928176319704594,robustfp,3,0.9530996290990826,0.976099769545041,4.640641790754848,3.223,2.075,4.2,4.423,0.232,0.115,0.265,25.0
front,mid2,0.5930859544290897,0.018964631184183216,robustfp,3,0.8789995076292273,0.9287992386521196,4.441029848781479,5.798,4.385,8.525,7.418,0.266,0.202,0.33,25.0
front,high,0.5989882034117695,0.025847753132807707,robustfp,3,0.8947005078432259,0.9365008186481516,4.123306812969101,5.813,5.266,7.484,8.982,0.285,0.214,0.361,25.0
h2pc,vlow,0.8941937349545609,0.005588287048831803,robustfp,3,0.9690002893510706,0.9802997996260334,5.593215527263535,0.0,0.0,0.0,0.0,-0.168,-0.189,-0.111,25.0
h2pc,low,0.9014884987614522,0.008593024924531577,robustfp,3,0.976099769545041,0.9882999697690225,5.558188142505539,0.0,0.0,0.0,0.0,-0.197,-0.224,-0.162,25.0
h2pc,lomid,0.5953954305670618,0.0030001782259908767,xgboost,3,0.8183730258919333,0.8594109905311959,4.873189034191025,1.679,1.596,1.809,1.176,-0.053,-0.084,-0.008,25.0
h2pc,mid1,0.6182836366769888,0.015779382119583137,robustfp,3,0.8696990874852334,0.927399188629121,3.3723100643627375,1.684,1.602,1.743,1.164,-0.039,-0.088,-0.031,25.0
h2pc,mid2,0.48632193172200516,0.006601829192817129,robustfp,3,0.7689982255574087,0.8609985473652344,3.092830401785426,2.626,2.376,2.722,1.779,-0.032,-0.083,0.01,25.0
h2pc,high,0.23152140338335778,0.01191913125067088,robustfp,3,0.5093000901769841,0.6487003829357141,1.3307927271994477,3.296,3.041,3.457,2.347,-0.013,-0.059,0.074,25.0
httpos,vlow,0.9997042261221365,0.0004733367856063207,robustfp,3,0.9998999899989999,1.0,6.6334447010287425,0.066,0.054,0.084,0.399,0.003,-0.0,0.038,25.0
httpos,low,0.999304289798583,0.0005712351921793075,robustfp,3,0.9997000299910015,0.9999000199960008,6.632806340172642,0.093,0.078,0.1,0.446,0.005,0.0,0.037,25.0
httpos,lomid,0.9996017238223599,0.00016292566155596698,robustfp,3,0.9996999999940006,0.9996999999940006,6.639739002817375,0.096,0.093,0.11,0.476,0.039,0.017,0.073,25.0
httpos,mid1,0.9989014068030385,0.00015144010974303017,robustfp,3,0.9992999899870011,0.9995999899930005,6.621148808488997,0.103,0.096,0.12,0.515,0.053,0.022,0.085,25.0
httpos,mid2,0.992384169188799,0.0021535303539664884,robustfp,3,0.9991000299790027,0.999300019984002,6.539050794767591,0.125,0.116,0.132,0.72,0.162,0.122,0.243,25.0
llama,vlow,0.9886018689283483,0.0016939219776197119,robustfp,3,0.9981999999640037,0.9989999599840008,6.489322145409637,0.0,0.0,0.0,0.0,-0.114,-0.182,-0.064,25.0
llama,low,0.9922136778421967,0.0019171444260024794,robustfp,3,0.9989999899810017,0.9996000199900014,6.470116741584989,0.353,0.274,0.401,0.306,-0.106,-0.16,-0.05,25.0
llama,lomid,0.994911286683383,0.0011989421928141173,robustfp,3,0.9997999799979999,0.9998999899989999,6.414547847834481,0.568,0.485,0.721,0.552,-0.011,-0.107,0.065,25.0
llama,mid1,0.9931077149171802,0.0019160743446176628,robustfp,3,0.9993999399939995,0.9995999599959996,6.27971194895829,0.708,0.605,0.854,0.653,0.022,-0.045,0.088,25.0
llama,mid2,0.9612242862632329,0.007657428275013631,robustfp,3,0.9924999398560134,0.9960999999220078,5.999783160415543,1.35,1.135,1.522,1.124,0.118,0.02,0.147,25.0
llama,high,0.9314477367441238,0.007621554268693968,xgboost,3,0.9646000292890716,0.9733999794700526,6.062685074535263,2.142,1.838,2.287,1.771,0.205,0.13,0.32,25.0
nop,mid1,0.9990995302195822,0.00027407789798006,robustfp,3,0.9998000399920016,1.0,6.633225312086197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
srvalpaca,vlow,0.9994014542671259,0.0002736879742097685,robustfp,3,0.9998999899989999,1.0,6.609274630995842,0.33,0.252,0.381,0.0,0.024,0.001,0.053,25.0
srvalpaca,low,0.9788495244887052,0.004328484173063426,robustfp,3,0.9969001099270095,0.9991000599760036,6.118156902121755,2.513,2.161,3.23,0.0,0.15,0.082,0.201,25.0
srvalpaca,lomid,0.40071115186471423,0.019886328280423644,robustfp,3,0.6752007834256731,0.7799006655314602,2.4719112536581878,7.251,5.289,9.117,0.0,0.561,0.455,0.684,25.0
srvalpaca,mid1,0.06818190703523591,0.0011984231749631088,xgboost,3,0.21627846647892146,0.3515653904922586,1.9632808189861501,17.864,12.001,21.785,0.0,1.08,0.645,1.585,25.0
srvh2ps1p,vlow,0.9981008607244125,0.0004233434595187405,robustfp,3,1.0,1.0,6.54377632551119,0.22,0.206,0.26,0.06,0.007,0.004,0.04,25.0
srvh2ps1p,low,0.9938945177646531,0.00030240481254882205,robustfp,3,1.0,1.0,6.477532984939469,0.358,0.236,0.445,0.086,0.001,-0.029,0.007,25.0
srvh2ps1p,lomid,0.9328896717865277,0.00852383435890723,robustfp,3,0.9690001693630671,0.9757000295110494,5.814276319868617,0.603,0.34,0.793,0.188,0.003,-0.029,0.006,25.0
srvh2ps1p,mid1,0.5261680408915096,0.010169244162410733,robustfp,3,0.7194004343445742,0.7810003255874478,2.8031638285788425,1.139,0.607,1.503,0.346,0.005,-0.083,0.046,25.0
srvh2ps1p,mid2,0.05084120836896892,0.002135333986367847,robustfp,3,0.1610013430857183,0.26100147507252225,0.45210025919204205,2.357,1.812,3.362,0.702,0.006,-0.072,0.165,25.0
