defense,level,f1,f1_ci,by,n,top5,top10,entropy,dDownB,dDownB_q1,dDownB_q3,dUpB,dT,dT_q1,dT_q3,n_pages
nop,mid1,0.9990995302195822,0.00027407789798006,robustfp,3,0.9998000399920016,1.0,6.633225312086197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
srvalpaca,vlow,0.9994014542671259,0.0002736879742097685,robustfp,3,0.9998999899989999,1.0,6.609274630995842,0.33,0.252,0.381,0.0,0.024,0.001,0.053,25.0
srvalpaca,low,0.9788495244887052,0.004328484173063426,robustfp,3,0.9969001099270095,0.9991000599760036,6.118156902121755,2.513,2.161,3.23,0.0,0.15,0.082,0.201,25.0
srvalpaca,lomid,0.40071115186471423,0.019886328280423644,robustfp,3,0.6752007834256731,0.7799006655314602,2.4719112536581878,7.251,5.289,9.117,0.0,0.561,0.455,0.684,25.0
srvalpaca,mid1,0.06818190703523591,0.0011984231749631088,xgboost,3,0.21627846647892146,0.3515653904922586,1.9632808189861501,17.864,12.001,21.785,0.0,1.08,0.645,1.585,25.0
srvh2ps1p,vlow,0.9981008607244125,0.0004233434595187405,robustfp,3,1.0,1.0,6.54377632551119,0.22,0.206,0.26,0.06,0.007,0.004,0.04,25.0
srvh2ps1p,low,0.9938945177646531,0.00030240481254882205,robustfp,3,1.0,1.0,6.477532984939469,0.358,0.236,0.445,0.086,0.001,-0.029,0.007,25.0
srvh2ps1p,lomid,0.9328896717865277,0.00852383435890723,robustfp,3,0.9690001693630671,0.9757000295110494,5.814276319868617,0.603,0.34,0.793,0.188,0.003,-0.029,0.006,25.0
srvh2ps1p,mid1,0.5261680408915096,0.010169244162410733,robustfp,3,0.7194004343445742,0.7810003255874478,2.8031638285788425,1.139,0.607,1.503,0.346,0.005,-0.083,0.046,25.0
srvh2ps1p,mid2,0.05084120836896892,0.002135333986367847,robustfp,3,0.1610013430857183,0.26100147507252225,0.45210025919204205,2.357,1.812,3.362,0.702,0.006,-0.072,0.165,25.0
srvh2ps1p,high,0.033185460931097414,0.001244611299312921,xgboost,3,0.08865352554672944,0.14484652348730018,1.2730115077170259,4.785,3.855,6.427,1.268,-0.068,-0.148,0.062,25.0
srvtamaraw,vlow,0.9991931039479304,0.00016060757746401788,robustfp,3,0.9998999899989999,0.9998999899989999,6.602391329534107,0.543,0.442,0.617,0.0,0.035,0.002,0.079,25.0
srvtamaraw,low,0.5813613967318187,0.01703619091661706,robustfp,3,0.8110009561244066,0.8738004574302661,3.2991712710532077,4.749,4.053,5.108,0.0,0.302,0.269,0.405,25.0
srvtamaraw,lomid,0.03511334213618265,0.001657824310953172,xgboost,3,0.12397233395571926,0.20481379205496586,0.9504915695659841,10.026,8.665,11.22,0.0,0.793,0.523,1.008,25.0
srvtamaraw,mid1,0.11175914254432463,0.001259764872993664,xgboost,3,0.19496708614808858,0.2588355555137029,1.1061798553936208,18.557,16.349,19.848,0.0,1.794,1.224,2.319,25.0
