defense,level,f1,f1_ci,by,n,top5,top10,entropy,dDownB,dDownB_q1,dDownB_q3,dUpB,dT,dT_q1,dT_q3,n_pages
nop,mid1,0.9954178740683508,0.0010756347520095746,kfp,3,0.9958999499230067,0.9959999599240068,6.6389561496821825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
srvalpaca,vlow,0.9608904749639752,0.00644395085014806,robustfp,3,0.9953000099050097,0.997800019954005,6.440423942732068,0.287,0.198,0.37,0.0,0.024,-0.016,0.057,25.0
srvalpaca,low,0.5767130878792993,0.018623762977313676,robustfp,3,0.7719006753704765,0.8279006064973623,4.1395417671673025,2.479,1.67,3.287,0.0,0.562,0.296,0.759,25.0
srvalpaca,lomid,0.18742187692675535,0.01575649711697449,robustfp,3,0.5461983210918572,0.715998834436533,1.8324392459067231,5.133,4.033,7.073,0.0,1.264,0.897,1.791,25.0
srvalpaca,mid1,0.034828013106273446,0.006288601909489096,robustfp,3,0.1893012336626584,0.32700147639239024,0.5405560951702322,12.689,10.257,16.279,0.0,5.367,3.981,7.003,25.0
srvh2ps1p,vlow,0.8203797239278526,0.009018899705359672,robustfp,3,0.9656002492870762,0.98330021964404,5.7034701527429155,0.169,0.038,0.231,0.167,0.04,-0.021,0.189,25.0
srvh2ps1p,low,0.6911733399505294,0.023621966906465102,robustfp,3,0.9087997582001751,0.9500998990120967,4.935654781388494,0.175,0.061,0.223,0.243,0.0,-0.073,0.24,25.0
srvh2ps1p,lomid,0.5151516359128374,0.01851126588720366,robustfp,3,0.8132005762063909,0.8908000278132192,4.151696743694199,0.366,0.21,0.647,0.451,0.055,-0.133,0.178,25.0
srvh2ps1p,mid1,0.27263015754337394,0.006876640735935215,robustfp,3,0.6225008823617815,0.7643007252134932,2.5040600122285412,0.706,0.413,0.968,0.78,-0.031,-0.153,0.033,25.0
srvh2ps1p,mid2,0.12083881186587316,0.0027183092898938337,robustfp,3,0.42120024839916503,0.5958992419937855,1.491540891058497,1.487,1.038,2.075,1.976,0.131,0.003,0.409,25.0
srvh2ps1p,high,0.02527960073674348,0.005058528675899765,robustfp,3,0.15449820326963712,0.27919684589934696,0.35692976129775494,2.215,1.448,3.031,3.534,3.01,1.8,3.964,25.0
srvh2ps1p,vhigh,0.011620736222703232,0.0016127044660066388,xgboost,3,0.057599881163881234,0.10880011216478576,1.086379987127833,3.981,2.624,5.4,6.579,5.942,4.72,9.972,25.0
srvtamaraw,vlow,0.9484641129069873,0.014844278111124093,robustfp,3,0.9926996298910035,0.9968998699510023,6.379248273499065,0.414,0.259,0.574,0.0,0.082,0.046,0.12,25.0
srvtamaraw,low,0.38617165352487987,0.013437045957016645,xgboost,3,0.6417999928367162,0.7356995447595148,2.0415081800294446,3.712,2.986,4.239,0.0,0.975,0.732,1.118,25.0
srvtamaraw,lomid,0.030545015372456536,0.004020112740531084,xgboost,3,0.09920044193981485,0.1646003832536823,1.0317363561463877,9.332,7.541,11.277,0.0,2.111,1.603,2.936,25.0
srvtamaraw,mid1,0.015452124801771957,0.00038201679179953674,xgboost,3,0.06277521812853827,0.11698992906844241,0.8548507512879894,12.284,8.804,14.142,0.0,8.186,6.433,11.217,25.0
