defense,level,f1,f1_ci,by,n,top5,top10,entropy,dDownB,dDownB_q1,dDownB_q3,dUpB,dT,dT_q1,dT_q3,n_pages
nop,mid1,0.999304612095924,0.0004164701630313285,robustfp,3,0.9997000299910015,0.9997000299910015,6.6385586492429205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
srvalpaca,vlow,0.994305637308078,0.0019991122505413042,robustfp,3,0.9994000299850021,0.9996000499870022,6.561228810128821,0.174,0.142,0.198,0.0,-0.001,-0.032,0.025,25.0
srvalpaca,low,0.9498000962285901,0.004867874010914057,robustfp,3,0.9895001497750254,0.9953000099050097,5.924019696441544,1.493,1.018,1.854,0.0,0.387,0.262,0.604,25.0
srvalpaca,lomid,0.7077219865521324,0.00972814540832861,robustfp,3,0.887099837758221,0.9261999085331448,4.206748149918767,3.329,2.491,5.691,0.0,1.004,0.663,1.553,25.0
srvalpaca,mid1,0.03264508594547054,0.005682338934419003,xgboost,3,0.13170045258875018,0.22039966444154913,1.3310209732525076,10.134,6.5,12.373,0.0,1.725,1.223,3.794,25.0
srvh2ps1p,vlow,0.994202107120198,0.00041815354651224376,robustfp,3,0.9990999999820018,0.9996999699969997,6.504152170943471,0.014,0.002,0.097,0.047,0.623,0.564,0.796,25.0
srvh2ps1p,low,0.9929188188319461,0.0001993846277112875,robustfp,3,0.9986999299810005,0.9991999499890002,6.442988308397187,0.011,0.006,0.028,0.063,0.609,0.469,0.696,25.0
srvh2ps1p,lomid,0.9854479815615695,0.0021183460940796695,robustfp,3,0.9973999199560027,0.9981999099730009,6.3406291923197635,0.12,0.038,0.283,0.146,0.661,0.516,0.804,25.0
srvh2ps1p,mid1,0.9626960466483788,0.0018165589420416047,robustfp,3,0.9885001397560272,0.9916001798140223,6.148554327216996,0.134,0.068,0.283,0.23,0.597,0.511,0.731,25.0
srvh2ps1p,mid2,0.9079181976399594,0.0019967713297984876,robustfp,3,0.952599639088084,0.9590996592160715,5.685790719715012,0.597,0.291,0.81,0.592,0.679,0.575,0.878,25.0
srvh2ps1p,high,0.16900149233364017,0.005771779719520582,robustfp,3,0.3399991168882935,0.4339993687431131,1.1364895325176443,0.843,0.551,1.332,1.162,1.498,1.136,2.068,25.0
srvh2ps1p,vhigh,0.015517173521727885,0.0009233136280024856,xgboost,3,0.06909965141685133,0.12519980252374366,1.0885157407594248,2.259,1.057,3.701,1.886,2.523,1.428,4.468,25.0
srvtamaraw,vlow,0.9982025194970188,0.0007292677222205648,robustfp,3,0.999300019984002,0.9996000199900014,6.601915013916545,0.273,0.221,0.311,0.0,0.01,0.001,0.028,25.0
srvtamaraw,low,0.8101526266251908,0.00911730040957098,robustfp,3,0.9505995890530864,0.9723998794600517,4.702582699186855,2.364,2.022,2.97,0.0,0.737,0.572,0.876,25.0
srvtamaraw,lomid,0.05490405052716085,0.007166002114593297,xgboost,3,0.17656768455594266,0.2655849366272303,1.2564146492544142,5.839,5.168,6.806,0.0,2.56,2.15,3.108,25.0
srvtamaraw,mid1,0.01968884588647597,0.0007485030584880552,xgboost,3,0.0846268656716418,0.1492537313432836,0.7324609578919933,10.508,9.606,11.384,0.0,4.52,3.857,5.775,25.0
